updated,method,metric,mean,ci_low,ci_high,queries,personas
true,bm25,recall_at_5,0.5747053201656579,0.5619760936575544,0.5892004721105087,3139,635
true,bm25,mrr_at_10,0.6417691914824759,0.6272568666969546,0.6572351926023473,3139,635
true,bm25,budget_recall,0.6473399171710736,0.6353837840950707,0.6606514280919842,3139,635
true,bm25,candidate_recall,0.9987257088244664,0.997795760794454,0.9995218437656868,3139,635
true,logistic,recall_at_5,0.8525007964319847,0.8429138655495408,0.8620467808603629,3139,635
true,logistic,mrr_at_10,0.8303621363592691,0.8194713301615947,0.8401625945308071,3139,635
true,logistic,budget_recall,0.9165339280025486,0.9088601576608357,0.924146269135768,3139,635
true,logistic,candidate_recall,0.9987257088244664,0.997795760794454,0.9995218437656868,3139,635
true,logistic_no_position,recall_at_5,0.8687480089200382,0.8591566754188699,0.8784574100180043,3139,635
true,logistic_no_position,mrr_at_10,0.8485183836728915,0.8379360054619148,0.8583877788191958,3139,635
true,logistic_no_position,budget_recall,0.924816820643517,0.916936823808612,0.9321312939291249,3139,635
true,logistic_no_position,candidate_recall,0.9987257088244664,0.997795760794454,0.9995218437656868,3139,635
true,random_forest,recall_at_5,0.7586811086333227,0.7468531822445799,0.7713624996650799,3139,635
true,random_forest,mrr_at_10,0.7792213423545058,0.767140649350221,0.7919651586675087,3139,635
true,random_forest,budget_recall,0.8243071041733036,0.8130270233236493,0.83441845840505,3139,635
true,random_forest,candidate_recall,0.9987257088244664,0.997795760794454,0.9995218437656868,3139,635
true,rrf,recall_at_5,0.7403631729850271,0.727762443058138,0.7536274635964768,3139,635
true,rrf,mrr_at_10,0.7853466628235664,0.7732591772613675,0.7968577551395921,3139,635
true,rrf,budget_recall,0.8112456196240841,0.8003164718262384,0.8224658367518018,3139,635
true,rrf,candidate_recall,0.9987257088244664,0.997795760794454,0.9995218437656868,3139,635
true,semantic,recall_at_5,0.8701815864925135,0.8601970405023438,0.8799633195810522,3139,635
true,semantic,mrr_at_10,0.8463067046931335,0.8356358219746697,0.8561052376326688,3139,635
true,semantic,budget_recall,0.9303918445364766,0.9231019621539845,0.9372445084535428,3139,635
true,semantic,candidate_recall,0.9987257088244664,0.997795760794454,0.9995218437656868,3139,635
false,bm25,recall_at_5,0.1722374390139519,0.16493256170451365,0.17942792329585253,11683,638
false,bm25,mrr_at_10,0.12967960501556325,0.123893963368975,0.1351387285995709,11683,638
false,bm25,budget_recall,0.19256612171531284,0.1856571801376518,0.19983575181336952,11683,638
false,bm25,candidate_recall,0.8290108134326228,0.8224558086760199,0.8363237000054353,11683,638
false,logistic,recall_at_5,0.22482809780592886,0.21685654220190753,0.2328717231716226,11683,638
false,logistic,mrr_at_10,0.1623927182217005,0.15617790780492538,0.1682169880448713,11683,638
false,logistic,budget_recall,0.2523609803418072,0.24428802961528917,0.2600884999375244,11683,638
false,logistic,candidate_recall,0.8290108134326228,0.8224558086760199,0.8363237000054353,11683,638
false,logistic_no_position,recall_at_5,0.21293046877229022,0.204964096173108,0.2204044647321268,11683,638
false,logistic_no_position,mrr_at_10,0.15173865431932707,0.1459108031491463,0.1577653493648246,11683,638
false,logistic_no_position,budget_recall,0.2409055893178122,0.23342874993138962,0.24865749915480645,11683,638
false,logistic_no_position,candidate_recall,0.8290108134326228,0.8224558086760199,0.8363237000054353,11683,638
false,random_forest,recall_at_5,0.23703244029786869,0.22895079632532195,0.24475514772889861,11683,638
false,random_forest,mrr_at_10,0.1781319078460224,0.1721237405519912,0.18461006157454216,11683,638
false,random_forest,budget_recall,0.27216896345116837,0.26427232101177456,0.27979086404385173,11683,638
false,random_forest,candidate_recall,0.8290108134326228,0.8224558086760199,0.8363237000054353,11683,638
false,rrf,recall_at_5,0.20890039658763446,0.20139512327423806,0.2163210412206174,11683,638
false,rrf,mrr_at_10,0.15120817250407254,0.14541933467182006,0.157068017936475,11683,638
false,rrf,budget_recall,0.23270278752603502,0.22476259670547044,0.2406322764513397,11683,638
false,rrf,candidate_recall,0.8290108134326228,0.8224558086760199,0.8363237000054353,11683,638
false,semantic,recall_at_5,0.19442780107849011,0.18661501485861906,0.20199444907826813,11683,638
false,semantic,mrr_at_10,0.1390409888740797,0.13354981282960846,0.14435943895656414,11683,638
false,semantic,budget_recall,0.22267397072669692,0.21498894974131033,0.2299794743992866,11683,638
false,semantic,candidate_recall,0.8290108134326228,0.8224558086760199,0.8363237000054353,11683,638
